Path,Box-cox,Z-normalization,Z-score,Windmill are excluded,Clusters Purity,Rand Index,Information Criterion,Error Type,how_to_process_data, kind_mean, tries, steps
../../../data/normal,False,True,True,,48.30199774205915,0.5664002869415774,0.4397369148197463,total,all,all,99,75
../../../data/normal,False,True,True,,40.732625688654814,0.5203788394825989,0.45766720991325566,max,all,all,99,75
